number,qbases,numreps,isprime,class_for_rep,unique_classes,n_unique_classes
2,"[[0 0 1 1]]",1,1,2,2
3,"[[0 1 1 1]]",1,1,3,3
5,"[[0 0 1 2]]",1,1,2,2
7,"[[1 1 1 2]]",1,1,4,4
11,"[[0 1 1 3]]",1,1,3,3
23,"[[1 2 3 3]]",1,1,4,4
-----,-----,-----,-----,-----,-----
13,"[[0 0 2 3;1 2 2 2]]",2,1,[2;4],[2;4]
17,"[[0 0 1 4;0 2 2 3]]",2,1,[2;3],[2;3]
19,"[[0 1 3 3;1 1 1 4]]",2,1,[3;4],[3;4]
29,"[[0 0 2 5;0 2 3 4]]",2,1,[2;3],[2;3]
31,"[[1 1 2 5;2 3 3 3]]",2,1,[4;4],4
47,"[[1 1 3 6;2 3 3 5]]",2,1,[4;4],4
71,"[[1 3 5 6;2 3 3 7]]",2,1,[4;4],4
-----,-----,-----,-----,-----,-----
37,"[[0 0 1 6;1 2 4 4;2 2 2 5]]",3,1,[2;4;4],[2;4]
41,"[[0 0 4 5;0 1 2 6;0 3 4 4]]",3,1,[2;3;3],[2;3]
43,"[[0 3 3 5;1 1 4 5;3 3 3 4]]",3,1,[3;4;4],[3;4]
53,"[[0 0 2 7;0 1 4 6;2 2 3 6]]",3,1,[2;3;4],[2;3;4]
59,"[[0 1 3 7;0 3 5 5;3 3 4 5]]",3,1,[3;3;4],[3;4]
79,"[[1 2 5 7;2 5 5 5;3 3 5 6]]",3,1,[4;4;4],4
-----,-----,-----,-----,-----,-----
61,"[[0 0 5 6;0 3 4 6;2 2 2 7;2 4 4 5]]",4,1,[2;3;4;4],[2;3;4]
67,"[[0 3 3 7;1 1 1 8;1 1 4 7;1 4 5 5]]",4,1,[3;4;4;4],[3;4]
83,"[[0 1 1 9;0 3 5 7;1 3 3 8;3 3 4 7]]",4,1,[3;3;4;4],[3;4]
107,"[[0 1 5 9;0 3 7 7;1 3 4 9;3 3 5 8]]",4,1,[3;3;4;4],[3;4]
-----,-----,-----,-----,-----,-----
73,"[[0 0 3 8;0 1 6 6;1 2 2 8;2 2 4 7;4 4 4 5]]",5,1,[2;3;4;4;4],[2;3;4]
89,"[[0 0 5 8;0 2 2 9;0 2 6 7;0 3 4 8;1 4 6 6]]",5,1,[2;3;3;3;4],[2;3;4]
101,"[[0 0 1 10;0 1 6 8;0 2 4 9;0 4 6 7;2 5 6 6]]",5,1,[2;3;3;3;4],[2;3;4]
103,"[[1 1 1 10;1 2 7 7;2 3 3 9;2 5 5 7;3 3 6 7]]",5,1,[4;4;4;4;4],4
109,"[[0 0 3 10;0 3 6 8;1 2 2 10;1 6 6 6;2 4 5 8]]",5,1,[2;3;4;4;4],[2;3;4]
113,"[[0 0 7 8;0 2 3 10;0 4 4 9;2 3 6 8;4 5 6 6]]",5,1,[2;3;3;4;4],[2;3;4]
127,"[[1 1 2 11;1 1 5 10;1 3 6 9;2 5 7 7;3 3 3 10]]",5,1,[4;4;4;4;4],4
131,"[[0 1 3 11;0 1 7 9;0 5 5 9;3 3 7 8;3 4 5 9]]",5,1,[3;3;3;4;4],[3;4]
151,"[[1 1 7 10;1 2 5 11;1 5 5 10;2 7 7 7;3 5 6 9]]",5,1,[4;4;4;4;4],4
167,"[[1 2 9 9;1 3 6 11;1 6 7 9;3 3 7 10;5 5 6 9]]",5,1,[4;4;4;4;4],4
191,"[[1 3 9 10;2 3 3 13;2 5 9 9;3 5 6 11;5 6 7 9]]",5,1,[4;4;4;4;4],4
-----,-----,-----,-----,-----,-----
97,"[[0 0 4 9;0 5 6 6;1 4 4 8;2 2 5 8;3 4 6 6;4 4 4 7]]",6,1,[2;3;4;4;4;4],[2;3;4]
137,"[[0 0 4 11;0 1 6 10;0 3 8 8;1 6 6 8;2 4 6 9;4 6 6 7]]",6,1,[2;3;3;4;4;4],[2;3;4]
139,"[[0 3 3 11;0 3 7 9;1 1 4 11;1 5 7 8;4 5 7 7;5 5 5 8]]",6,1,[3;3;4;4;4;4],[3;4]
149,"[[0 0 7 10;0 1 2 12;0 2 8 9;0 6 7 8;2 3 6 10;4 4 6 9]]",6,1,[2;3;3;3;4;4],[2;3;4]
179,"[[0 1 3 13;0 3 7 11;0 7 7 9;1 3 5 12;1 4 9 9;3 5 8 9]]",6,1,[3;3;3;4;4;4],[3;4]
239,"[[1 2 3 15;1 6 9 11;3 3 5 14;3 3 10 11;3 5 6 13;3 7 9 10]]",6,1,[4;4;4;4;4;4],4
-----,-----,-----,-----,-----,-----
163,"[[0 1 9 9;1 3 3 12;1 4 5 11;1 7 7 8;3 3 8 9;4 7 7 7;5 5 7 8]]",7,1,[3;4;4;4;4;4;4],[3;4]
173,"[[0 0 2 13;0 2 5 12;0 3 8 10;0 4 6 11;1 6 6 10;2 3 4 12;3 6 8 8]]",7,1,[2;3;3;3;4;4;4],[2;3;4]
197,"[[0 0 1 14;0 2 7 12;0 4 9 10;1 4 6 12;2 6 6 11;4 6 8 9;5 6 6 10]]",7,1,[2;3;3;4;4;4;4],[2;3;4]
199,"[[1 1 1 14;1 2 5 13;1 6 9 9;1 7 7 10;2 5 7 11;3 3 9 10;5 5 7 10]]",7,1,[4;4;4;4;4;4;4],4
211,"[[0 3 9 11;0 7 9 9;1 4 5 13;1 5 8 11;3 3 7 12;4 5 7 11;7 7 7 8]]",7,1,[3;3;4;4;4;4;4],[3;4]
263,"[[1 1 6 15;1 9 9 10;2 3 5 15;2 3 9 13;3 3 7 14;3 6 7 13;5 6 9 11]]",7,1,[4;4;4;4;4;4;4],4
-----,-----,-----,-----,-----,-----
157,"[[0 0 6 11;0 2 3 12;2 2 7 10;2 4 4 11;2 5 8 8;2 6 6 9;4 4 5 10;6 6 6 7]]",8,1,[2;3;4;4;4;4;4;4],[2;3;4]
181,"[[0 0 9 10;0 1 6 12;0 6 8 9;1 4 8 10;2 2 2 13;2 7 8 8;3 6 6 10;4 4 7 10]]",8,1,[2;3;3;4;4;4;4;4],[2;3;4]
193,"[[0 0 7 12;0 6 6 11;1 8 8 8;2 2 4 13;2 2 8 11;2 3 6 12;2 5 8 10;4 7 8 8]]",8,1,[2;3;4;4;4;4;4;4],[2;3;4]
227,"[[0 1 1 15;0 3 7 13;0 5 9 11;1 1 9 12;1 8 9 9;3 4 9 11;3 5 7 12;4 7 9 9]]",8,1,[3;3;3;4;4;4;4;4],[3;4]
233,"[[0 0 8 13;0 1 6 14;0 2 2 15;0 5 8 12;2 2 9 12;2 6 7 12;3 4 8 12;4 6 9 10]]",8,1,[2;3;3;3;4;4;4;4],[2;3;4]
311,"[[1 2 9 15;1 6 7 15;2 3 3 17;3 5 9 14;3 9 10 11;5 5 6 15;5 6 9 13;7 9 9 10]]",8,1,[4;4;4;4;4;4;4;4],4
-----,-----,-----,-----,-----,-----
223,"[[1 1 5 14;1 1 10 11;1 2 7 13;2 5 5 13;2 7 7 11;3 3 3 14;3 3 6 13;5 6 9 9;5 7 7 10]]",9,1,[4;4;4;4;4;4;4;4;4],4
